transaction_amount_usd,latent_v1,latent_v2,latent_v3,latent_v4,device_trust_score,is_fraud,amount_log,risk_interaction
93.81,0.135,-0.119,-1.084,0.358,0.979,0,4.551874888929868,-0.04307583417593528
67.1,0.193,-0.651,0.768,-0.624,0.937,0,4.220977213155467,0.42895881731784585
333.16,-3.1,0.129,-0.554,0.382,0.859,0,5.81161992018892,0.05670655926352129
72.17,-0.165,-0.827,0.585,-0.37,0.737,0,4.292785500895938,0.4096251673360107
113.2,0.251,-0.812,1.184,-0.59,0.768,0,4.73795129722191,0.6157840616966581
91.65,0.781,-0.966,0.261,1.023,0.737,0,4.528828952731369,-1.3229156626506022
52.41,0.497,-0.841,-0.404,0.265,0.847,0,3.977997994351679,-0.2600525087514586
148.26,0.023,0.738,0.05,0.636,0.814,0,5.005689751703241,0.569621359223301
165.24,-3.275,-0.818,1.209,-0.034,0.941,0,5.113432527350917,0.029245005257623555
48.92,-0.101,-2.093,-1.505,0.419,0.93,0,3.9104217240611723,-0.9329436170212765
61.65,-0.733,-0.31,-0.885,-0.521,0.834,0,4.137563681342077,0.1913625592417062
36.18,-0.052,-0.136,2.15,1.833,0.803,0,3.6157709822932977,-0.3066273062730627
55.4,-0.099,0.377,-0.86,-0.811,0.833,0,4.032469158504013,-0.3626892052194544
126.14,0.662,-0.93,-0.057,-0.336,0.925,0,4.845288841508263,0.33420320855614977
40.16,-1.389,0.3,-0.355,0.415,0.954,0,3.717466910965849,0.12914937759336098
41.95,-0.94,1.158,-0.029,-1.329,0.724,0,3.7600366484302645,-2.0967057220708445
23.54,0.68,-0.199,-1.708,0.332,0.904,0,3.2003044392827653,-0.07228446389496718
96.42,-0.378,0.145,0.051,1.49,0.787,0,4.579031528378397,0.2710790464240903
18.94,-0.835,-1.449,0.248,1.601,0.722,0,2.9927277645336923,-3.1691926229508196
6.55,-0.198,-0.882,0.187,0.589,0.933,0,2.0215475632609334,-0.550899257688229
58.39,-0.812,-0.287,0.296,0.393,0.749,0,4.0841258620277685,-0.14860474308300395
66.03,2.338,-0.236,0.11,0.617,0.857,0,4.205140280369866,-0.16794925028835062
9.39,-0.677,0.416,-0.276,0.269,0.787,0,2.340843805111136,0.1404065244667503
29.34,-1.365,-0.711,-2.574,-0.307,0.986,0,3.4124669739203863,0.21915361445783132
9.89,-0.534,0.151,0.045,1.257,0.853,0,2.387844936944869,0.21993858632676708
75.09,-0.453,-0.493,0.869,-1.683,0.761,0,4.331916850188431,1.07615953307393
15.51,0.584,0.614,-0.745,-0.414,0.742,0,2.8039662579320366,-0.3380265957446808
106.61,1.206,0.609,0.172,0.391,0.745,0,4.678513580212301,0.31538940397350995
28.71,-0.425,0.5,0.201,-0.423,0.817,0,3.391483689474516,-0.25574365175332525
219.73,-0.693,0.254,-1.013,-1.687,0.715,0,5.39694023515312,-0.5910317241379311
63.33,-0.254,-0.967,1.209,-0.661,0.933,0,4.1640260854229085,0.6778229056203606
19.16,-1.377,-1.451,0.381,-0.445,0.905,0,3.0037004432031678,0.7056775956284153
22.95,-0.812,-0.275,-0.896,0.303,0.986,0,3.175968323856924,-0.08365963855421688
133.96,1.332,-1.861,0.113,0.857,0.751,0,4.904978438237713,-2.095764783180026
45.46,0.421,1.002,0.891,0.366,0.959,0,3.838591727342263,0.37846439628482975
219.47,0.098,-0.899,0.865,0.81,0.876,0,5.39576163120889,-0.8218848758465013
20.51,0.653,0.882,-0.075,-0.858,0.75,0,3.068517943279639,-0.9957315789473684
39.99,-0.051,-0.247,2.145,0.895,0.892,0,3.7133281345162463,-0.24508314855875832
158.82,-0.367,-0.275,-0.184,0.188,0.983,0,5.074048181946317,-0.05206445115810675
162.13,0.389,0.001,-0.291,-0.594,0.885,0,5.0945474289482116,-0.0006636871508379888
41.62,2.206,1.199,-1.259,0.787,0.806,0,3.752323626670471,1.156388480392157
162.75,0.489,-0.456,1.529,0.365,0.907,0,5.098340874515361,-0.181504907306434
24.77,1.059,0.198,0.479,-0.07,0.831,0,3.2492110246642736,-0.016480380499405475
18.1,0.523,-0.128,0.801,-0.392,0.956,0,2.9496883350525844,0.05194202898550725
41.64,0.222,-0.412,1.034,-0.689,0.828,0,3.752792779857589,0.338744630071599
61.45,-0.554,1.309,-2.072,-0.952,0.807,0,4.134366236571586,-1.5252974296205628
68.45,-0.511,1.141,2.043,0.29,0.778,0,4.240607069200353,0.4199111675126903
