transaction_amount_usd,latent_v1,latent_v2,latent_v3,latent_v4,device_trust_score,is_fraud
93.81,0.135,-0.119,-1.084,0.358,0.979,0
67.1,0.193,-0.651,0.768,-0.624,0.937,0
333.16,-3.1,0.129,-0.554,0.382,0.859,0
72.17,-0.165,-0.827,0.585,-0.37,0.737,0
113.2,0.251,-0.812,1.184,-0.59,0.768,0
91.65,0.781,-0.966,0.261,1.023,0.737,0
52.41,0.497,-0.841,-0.404,0.265,0.847,0
148.26,0.023,0.738,0.05,0.636,0.814,0
165.24,-3.275,-0.818,1.209,-0.034,0.941,0
48.92,-0.101,-2.093,-1.505,0.419,0.93,0
61.65,-0.733,-0.31,-0.885,-0.521,0.834,0
36.18,-0.052,-0.136,2.15,1.833,0.803,0
55.4,-0.099,0.377,-0.86,-0.811,0.833,0
126.14,0.662,-0.93,-0.057,-0.336,0.925,0
40.16,-1.389,0.3,-0.355,0.415,0.954,0
41.95,-0.94,1.158,-0.029,-1.329,0.724,0
23.54,0.68,-0.199,-1.708,0.332,0.904,0
96.42,-0.378,0.145,0.051,1.49,0.787,0
18.94,-0.835,-1.449,0.248,1.601,0.722,0
6.55,-0.198,-0.882,0.187,0.589,0.933,0
58.39,-0.812,-0.287,0.296,0.393,0.749,0
66.03,2.338,-0.236,0.11,0.617,0.857,0
9.39,-0.677,0.416,-0.276,0.269,0.787,0
29.34,-1.365,-0.711,-2.574,-0.307,0.986,0
9.89,-0.534,0.151,0.045,1.257,0.853,0
75.09,-0.453,-0.493,0.869,-1.683,0.761,0
15.51,0.584,0.614,-0.745,-0.414,0.742,0
106.61,1.206,0.609,0.172,0.391,0.745,0
28.71,-0.425,0.5,0.201,-0.423,0.817,0
219.73,-0.693,0.254,-1.013,-1.687,0.715,0
63.33,-0.254,-0.967,1.209,-0.661,0.933,0
19.16,-1.377,-1.451,0.381,-0.445,0.905,0
22.95,-0.812,-0.275,-0.896,0.303,0.986,0
133.96,1.332,-1.861,0.113,0.857,0.751,0
45.46,0.421,1.002,0.891,0.366,0.959,0
219.47,0.098,-0.899,0.865,0.81,0.876,0
20.51,0.653,0.882,-0.075,-0.858,0.75,0
39.99,-0.051,-0.247,2.145,0.895,0.892,0
158.82,-0.367,-0.275,-0.184,0.188,0.983,0
162.13,0.389,0.001,-0.291,-0.594,0.885,0
41.62,2.206,1.199,-1.259,0.787,0.806,0
162.75,0.489,-0.456,1.529,0.365,0.907,0
24.77,1.059,0.198,0.479,-0.07,0.831,0
18.1,0.523,-0.128,0.801,-0.392,0.956,0
41.64,0.222,-0.412,1.034,-0.689,0.828,0
61.45,-0.554,1.309,-2.072,-0.952,0.807,0
68.45,-0.511,1.141,2.043,0.29,0.778,0
32.63,0.145,0.281,1.858,0.971,0.708,0
86.82,3.015,0.627,-0.669,-0.225,0.756,0
260.91,-0.877,-2.405,0.313,1.782,0.848,0
28.68,-0.707,0.522,-0.172,-1.36,0.783,0
29.17,1.344,1.293,-0.311,1.228,0.721,0
32.18,0.057,0.285,-0.555,0.022,0.865,0
220.51,0.043,0.494,0.667,-0.063,0.895,0
10.7,-1.594,-0.21,-2.472,-1.676,0.869,0
42.51,0.014,-1.262,0.491,0.989,0.798,0
238.02,0.232,0.901,-0.469,0.03,0.772,0
57.32,0.917,2.057,-0.874,0.963,0.864,0
12.84,1.508,-0.52,-0.015,-1.802,0.796,0
54.38,0.429,0.832,-0.222,0.286,0.953,0
10.24,-0.326,0.741,0.129,-1.986,0.973,0
9.16,0.94,-0.39,-1.27,-0.439,0.823,0
46.4,0.143,0.227,0.306,0.003,0.835,0
10.1,-0.437,-1.626,-0.772,0.89,0.871,0
113.64,1.544,0.085,1.742,2.054,0.733,0
16.46,-1.733,0.221,0.086,-0.424,0.856,0
299.76,-0.735,-0.027,1.205,0.183,0.989,0
52.83,0.627,-0.277,0.452,-1.209,0.818,0
8.57,-1.276,-0.83,0.313,0.13,0.778,0
800.81,-3.414,2.991,-3.953,5.567,0.38,1
93.63,0.032,0.806,0.075,-1.025,0.737,0
81.3,2.339,-0.334,0.645,-0.012,0.811,0
51.94,0.749,1.549,-0.735,-1.657,0.763,0
292.47,-0.325,-0.937,-0.65,0.61,0.723,0
59.68,0.589,0.667,-0.337,0.138,0.927,0
163.75,0.041,1.433,0.583,-0.451,0.911,0
340.82,-0.445,-0.558,0.632,-0.623,0.754,0
10.86,-0.425,1.058,0.192,1.199,0.961,0
226.54,0.798,-1.177,-0.102,0.99,0.876,0
22.75,-0.039,-1.755,0.12,-0.837,0.846,0
18.26,-1.931,-0.674,2.551,0.65,0.702,0
126.66,-0.881,1.404,-0.992,-0.554,0.867,0
19.3,1.369,-0.999,-2.06,1.091,0.822,0
75.19,0.46,0.227,-0.787,-1.394,0.865,0
186.44,0.254,-0.622,-0.802,-2.455,0.714,0
23.02,-0.228,1.439,-0.89,-1.522,0.948,0
122.5,-0.586,-0.349,0.264,-0.156,0.869,0
69.81,-1.709,1.23,0.105,1.388,0.734,0
16.75,0.724,0.061,0.76,-0.394,0.922,0
29.21,-0.844,0.642,0.031,-2.329,0.91,0
15.21,-0.406,-2.547,1.321,0.169,0.75,0
145.2,0.531,1.835,-0.735,1.667,0.74,0
98.15,2.212,0.392,0.676,-0.269,0.87,0
12.59,1.581,-0.31,-0.027,1.456,0.959,0
31.48,0.877,-0.197,0.31,0.661,0.949,0
12.9,-0.401,0.816,-0.547,-0.675,0.821,0
29.59,-0.816,-0.401,0.612,-1.726,0.828,0
41.19,0.461,0.289,-0.765,1.169,0.916,0
19.01,-0.363,-0.869,-0.605,0.734,0.718,0
17.0,0.361,0.968,0.361,-1.611,0.853,0
95.57,0.515,-0.377,1.113,-1.093,0.705,0
44.63,0.61,-2.08,0.677,-1.08,0.933,0
75.15,0.823,1.224,1.121,-0.524,0.785,0
76.98,-0.687,1.393,-0.385,-1.868,0.937,0
230.94,2.014,0.562,0.764,-0.98,0.939,0
170.33,-0.821,-0.17,-1.5,-0.347,0.784,0
130.76,1.907,-1.436,-0.26,-0.656,0.726,0
281.95,-0.18,1.371,-0.984,-0.451,0.863,0
249.66,0.175,-0.965,-0.072,1.132,0.988,0
101.63,-1.61,-0.697,-1.816,0.537,0.725,0
5.12,1.225,-0.183,-1.006,-0.976,0.746,0
20.23,0.912,-0.669,0.435,-0.305,0.795,0
15.18,0.337,0.915,-0.252,-1.204,0.783,0
118.46,0.261,-0.025,-0.159,-0.487,0.84,0
64.45,1.136,-0.913,0.408,0.355,0.86,0
153.58,-0.829,-1.605,-0.349,-1.958,0.783,0
282.1,-0.628,-0.293,-0.69,0.042,0.732,0
26.05,-2.424,-1.295,0.643,0.804,0.824,0
39.51,1.072,-0.718,-0.111,1.442,0.738,0
27.83,-0.157,1.853,0.446,0.019,0.98,0
25.61,-0.524,0.539,0.66,-1.073,0.817,0
232.93,0.025,-0.884,-0.4,-1.03,0.88,0
19.76,-0.355,-1.3,2.177,-1.125,0.721,0
26.86,1.092,-1.476,0.457,-0.251,0.884,0
11.34,0.062,-0.812,-0.858,-1.574,0.752,0
78.35,0.004,0.592,0.208,-0.723,0.799,0
169.68,-1.334,-0.284,0.587,-0.674,0.777,0
128.91,-0.634,-1.046,0.684,-0.053,0.97,0
24.7,-0.98,-0.396,-3.071,0.778,0.961,0
231.04,-0.171,-2.406,-1.457,-0.422,0.758,0
8.27,-1.314,0.793,0.419,0.36,0.84,0
50.73,-0.698,-0.954,-0.415,-1.126,0.964,0
86.21,0.68,-0.138,1.999,1.14,0.711,0
48.85,1.338,1.008,-1.41,1.086,0.727,0
52.35,-1.979,-0.269,-0.012,1.587,0.79,0
147.05,0.389,0.826,0.086,-0.587,0.921,0
17.48,0.413,-0.293,-2.619,-1.291,0.702,0
150.47,0.62,-2.131,1.184,1.036,0.977,0
69.42,0.529,-0.117,-1.374,0.967,0.737,0
162.14,1.407,-1.209,-1.411,-0.137,0.874,0
10.32,1.208,-2.246,1.581,-0.407,0.94,0
130.38,0.735,0.062,0.296,0.289,0.788,0
52.7,-1.219,-0.104,-0.787,-0.784,0.724,0
229.24,1.799,0.859,-0.252,0.672,0.88,0
8.36,0.442,-0.418,-0.685,1.224,0.809,0
69.82,-0.668,-0.781,-0.621,0.862,0.756,0
64.65,-0.383,0.542,-0.22,-0.645,0.917,0
73.0,0.461,1.301,-0.578,-0.008,0.985,0
46.11,0.441,-0.919,0.647,-1.628,0.87,0
55.16,-0.51,0.73,1.698,-2.314,0.892,0
135.25,1.64,-1.182,1.451,-0.739,0.706,0
24.52,1.055,-0.036,0.771,0.049,0.84,0
62.31,0.21,-0.264,0.398,-0.252,0.964,0
248.96,2.018,0.231,-0.447,0.337,0.874,0
65.7,-5.326,4.185,-5.373,2.328,0.223,1
87.96,0.007,-0.803,0.297,-1.274,0.885,0
74.15,-0.84,1.217,-0.382,1.506,0.84,0
93.78,-1.52,0.948,0.224,0.502,0.737,0
42.5,1.16,0.32,-1.444,0.687,0.719,0
7.43,0.486,-0.325,1.62,-0.618,0.966,0
49.57,0.077,-1.384,0.184,-0.414,0.866,0
207.31,0.095,-1.048,-0.23,0.97,0.84,0
11.21,-0.936,-1.184,-0.085,0.174,0.834,0
99.57,-0.05,-1.25,0.612,0.398,0.882,0
98.99,0.351,-0.47,0.205,-0.111,0.909,0
124.14,-0.296,-1.462,1.333,0.582,0.73,0
283.79,-0.319,0.543,0.075,1.319,0.834,0
37.09,1.599,0.563,1.773,-1.222,0.903,0
110.55,-1.682,-0.296,-0.107,-1.62,0.957,0
45.41,-0.391,0.242,0.249,-0.012,0.923,0
25.09,-1.587,0.009,1.385,-0.447,0.924,0
27.01,0.163,0.745,0.038,-2.388,0.875,0
74.76,1.284,-3.539,0.451,-0.467,0.857,0
16.94,-0.149,0.509,0.057,-1.121,0.733,0
236.02,-0.577,-0.738,-1.716,-1.372,0.93,0
56.8,-0.536,-0.757,-1.181,0.031,0.877,0
75.9,0.285,0.14,-0.543,-0.377,0.788,0
196.64,-0.162,-0.025,-0.591,-0.075,0.858,0
40.13,2.352,-0.552,0.374,0.852,0.826,0
150.49,-1.803,0.267,0.129,-0.346,0.95,0
20.11,0.362,0.32,-0.218,0.384,0.962,0
37.86,-0.627,0.073,-1.624,-0.37,0.755,0
99.22,-0.32,-2.405,-1.368,-1.106,0.98,0
92.21,-0.056,-0.383,-0.379,0.716,0.727,0
125.73,1.293,1.95,-1.246,0.523,0.846,0
71.91,0.115,-0.056,0.49,0.755,0.723,0
14.54,-1.245,-0.026,-2.269,-0.209,0.885,0
16.74,-1.656,-0.512,0.967,-0.676,0.709,0
294.61,-1.905,0.258,-0.587,-0.186,0.987,0
8.41,-0.73,1.974,-1.558,2.833,0.904,0
10.99,-0.575,-0.617,-0.785,0.601,0.866,0
25.6,-2.184,0.274,0.849,-1.275,0.855,0
250.07,1.598,-0.855,2.816,-2.391,0.778,0
56.58,1.851,-0.262,-0.172,0.443,0.712,0
63.29,-1.257,0.169,0.379,0.695,0.832,0
71.12,-0.068,1.192,-0.125,-2.338,0.868,0
22.81,0.292,0.673,-0.781,0.26,0.875,0
15.96,0.053,-0.821,1.558,-1.706,0.726,0
52.93,1.834,0.598,-0.649,-0.28,0.983,0
33.66,1.861,-0.946,-1.764,0.291,0.718,0
20.07,0.314,0.666,0.673,1.771,0.817,0
43.42,0.662,-1.106,-1.457,1.866,0.83,0
29.92,-0.059,1.309,-1.869,0.415,0.753,0
12.64,-0.89,0.628,-0.907,1.572,0.821,0
58.83,-0.789,-0.261,1.082,-1.258,0.893,0
33.66,-1.375,-0.179,-0.159,0.218,0.766,0
32.88,0.335,-0.896,-1.36,1.228,0.905,0
74.29,0.784,-1.268,0.096,-1.016,0.827,0
31.5,0.982,0.275,-1.391,-0.482,0.775,0
60.49,0.713,-0.229,-1.391,-1.447,0.811,0
158.99,1.19,1.572,1.022,-0.533,0.711,0
178.94,-2.498,0.313,2.092,-0.035,0.704,0
179.44,-1.99,-0.675,-0.184,-1.098,0.844,0
48.94,-0.785,1.773,0.101,0.47,0.934,0
14.84,-1.652,-1.04,1.089,0.209,0.723,0
11.4,-0.399,0.486,0.506,1.991,0.942,0
16.36,0.163,-1.063,-0.116,0.608,0.795,0
84.32,0.254,-0.897,-0.567,0.846,0.769,0
136.44,-0.158,-0.536,2.892,0.278,0.911,0
42.25,1.357,1.792,2.088,0.708,0.775,0
12.52,-0.292,-0.404,1.24,0.001,0.903,0
137.27,-1.099,-1.717,-1.237,-0.427,0.718,0
80.98,0.703,-0.528,0.257,0.118,0.819,0
97.19,2.208,-0.594,-1.34,-0.217,0.847,0
68.92,0.603,0.795,-0.77,0.326,0.909,0
63.97,-0.109,-0.378,-1.165,0.14,0.916,0
5.71,0.293,-1.202,0.453,0.233,0.905,0
99.7,0.094,-1.036,-0.831,1.762,0.912,0
67.72,0.499,0.754,0.939,-1.223,0.751,0
78.78,-0.285,0.64,-1.025,0.559,0.881,0
39.86,-0.664,-1.027,-1.435,-0.579,0.83,0
37.85,1.099,-0.189,-1.178,0.226,0.9,0
66.23,0.791,0.306,0.905,-0.134,0.918,0
62.0,-1.636,0.968,-0.111,-0.291,0.881,0
9.93,-0.044,-0.415,-0.703,-1.905,0.776,0
20.3,0.151,1.963,-0.616,-1.024,0.872,0
11.37,0.589,0.728,0.828,0.969,0.894,0
60.09,-0.355,0.109,1.296,0.566,0.845,0
42.6,0.862,-1.343,0.751,0.39,0.799,0
129.84,0.996,0.16,1.766,2.786,0.868,0
122.6,2.321,0.603,-0.908,-0.039,0.923,0
121.9,-1.125,-1.094,-0.341,0.535,0.872,0
238.65,-0.834,1.737,-1.072,1.302,0.78,0
490.25,0.739,1.28,-0.444,-0.143,0.709,0
73.67,0.225,1.579,-1.297,-0.657,0.83,0
11.39,-0.136,0.772,0.034,0.303,0.97,0
5.46,0.398,0.245,0.703,-0.122,0.857,0
68.72,0.706,0.228,0.625,-1.101,0.723,0
83.69,0.51,-0.726,-0.345,-1.872,0.874,0
20.97,-0.869,1.064,-0.954,0.453,0.9,0
16.66,-1.535,-0.453,-0.846,0.883,0.956,0
194.04,0.462,-1.233,-0.203,-0.772,0.907,0
96.55,-1.442,0.827,-0.823,-0.253,0.909,0
64.58,-1.004,0.835,-1.172,-1.241,0.707,0
40.45,0.028,0.022,-2.832,1.16,0.709,0
184.66,-2.139,-0.146,1.328,2.209,0.764,0
52.61,1.291,0.865,-0.489,-0.616,0.776,0
8.28,-0.717,-0.345,0.316,-0.566,0.948,0
30.24,-1.482,-0.376,-1.676,0.108,0.973,0
205.93,-1.939,0.89,-1.315,-1.773,0.911,0
56.07,0.711,-1.922,-1.343,-0.396,0.954,0
127.54,-0.142,2.51,-5.917,6.038,0.398,1
76.41,-0.727,-0.102,1.316,-0.145,0.878,0
156.7,-1.04,-0.016,0.981,0.669,0.786,0
63.18,-1.796,-1.583,-0.51,-0.377,0.757,0
9.84,-1.475,1.023,-1.264,-1.371,0.702,0
160.35,0.088,0.974,2.055,0.583,0.812,0
93.56,2.16,-1.861,-0.504,0.561,0.814,0
37.36,-1.086,-0.31,1.422,0.017,0.828,0
62.34,0.467,0.79,-1.7,-0.067,0.957,0
78.14,-0.725,-0.875,-0.456,1.284,0.843,0
185.68,1.02,-2.369,0.792,-1.119,0.735,0
15.27,1.767,-1.064,-0.853,0.562,0.723,0
244.7,0.659,-0.446,0.371,0.495,0.749,0
151.61,0.505,1.406,-1.225,-0.84,0.735,0
65.59,-1.803,1.093,-2.229,-0.402,0.886,0
201.8,-0.387,-1.097,0.344,-0.988,0.911,0
233.39,0.151,-0.64,2.035,0.358,0.941,0
18.85,-0.774,-0.386,2.392,-0.767,0.709,0
32.32,-0.078,-0.456,-1.04,0.421,0.963,0
66.73,0.811,0.901,-0.918,0.641,0.761,0
104.08,-0.319,-1.456,0.67,0.665,0.831,0
138.55,0.451,0.988,-0.754,-0.906,0.791,0
15.56,-0.871,-0.68,0.881,-0.096,0.73,0
113.28,-0.616,0.286,0.126,0.778,0.805,0
125.09,0.861,-1.08,2.074,-0.786,0.764,0
101.08,-0.152,1.546,-0.818,2.204,0.959,0
63.56,0.403,0.457,-1.426,-0.473,0.818,0
153.75,0.139,-1.547,-0.538,1.123,0.886,0
28.96,0.178,-0.236,-0.28,-0.491,0.948,0
41.16,-0.432,1.808,0.3,-0.576,0.709,0
178.55,0.973,0.624,-1.654,-1.034,0.768,0
60.69,2.091,0.822,-0.013,-0.343,0.797,0
55.68,-1.733,1.901,1.574,-0.576,0.899,0
157.27,0.624,-1.425,-1.808,1.183,0.841,0
37.01,-0.368,-0.46,0.314,-0.678,0.892,0
260.67,2.099,-1.385,0.029,0.431,0.963,0
12.37,-0.256,-1.337,1.257,0.337,0.987,0
